model_1,model_3
-1.5937516689300537,-2.1997218132019043
4.490909457206726,-2.4434834420681
-1.8776030540466309,-1.0538262128829956
-1.2677828073501587,-1.3097638115286827
-1.2739050388336182,-0.006165683269500732
-1.0592859983444214,-1.0355304479599
-2.620922565460205,-1.7045483589172363
-12.11965823173523,-1.0445037111639977
-1.109221637248993,-2.47599845379591
-0.9119469374418259,31.90120328962803
3.8851815462112427,-1.2715378999710083
3.1589491963386536,-1.1199253797531128
-3.645687684416771,-2.093959257006645
-3.4025075435638428,0.00966326892375946
3.2146984338760376,-1.8932157158851624
16.754207134246826,2.275266658514738
-2.5486340522766113,0.02263558655977249
-1.0625563859939575,25.128907825797796
-0.52189701795578,-1.08183753490448
1.583380937576294,-1.047735571861267
29.99746510013938,-0.9237300306558609
0.5181424617767334,-1.0022403001785278
-6.71771913766861,-1.231785774230957
-0.5755326747894287,-2.708157241344452
-4.25352668762207,37.30392324924469
-2.6179862916469574,-1.503249153494835
-1.1232777833938599,-2.0750752836465836
-2.1511809825897217,-2.4183556139469147
1.3362068086862564,-0.6632716748863459
-1.9584565162658691,-1.0185626745224
-1.9767613410949707,-1.3860798114910722
-1.5124846696853638,-4.096751898527145
-3.9842066764831543,-1.2320114374160767
-1.2086234092712402,-1.357079267501831
-2.8746066093444824,0.36163751780986786
-4.573360443115234,-1.463450312614441
-2.2524831295013428,-1.0395009517669678
-1.1916936375200748,-1.041691780090332
-4.382691737264395,-2.0776634216308594
-2.1507339477539062,-1.761191189289093
-2.2495875358581543,0.6264265775680542
-5.455572128295898,-1.543906643986702
-1.1985705941915512,-1.7005095481872559
-1.0417404174804688,-1.3710169792175293
-9.762576907873154,38.30132180452347
-1.056886911392212,10.594208240509033
-1.1366699934005737,-2.440988101065159
15.315987944602966,-1.1958339214324951
-0.04977846145629883,-0.7712289094924927
6.945473223924637,-2.3067901134490967
-1.053621768951416,-1.1781299114227295
-2.239490032196045,2.1089814007282257
-7.061369895935059,1.9938547238707542
-2.0423676669597626,-1.8462845087051392
-1.2743467092514038,-2.289762482047081
